Date,Open,High,Low,Close,Volume,Adj Close
2012/2/23,,,,,,
2012/2/24,,,,,,
2012/2/25,,,,,,
2012/2/26,,,,,,
2012/2/27,1365.2,1378.04,1354.92,1369.63,3782622000,1369.63
2012/2/28,,,,,,
2012/2/29,,,,,,
2012/3/1,,,,,,
2012/3/2,,,,,,
2012/3/3,,,,,,
2012/3/4,,,,,,
2012/3/5,1369.59,1374.76,1340.03,1370.87,3676690000,1370.87
2012/3/6,,,,,,
2012/3/7,,,,,,
2012/3/8,,,,,,
2012/3/9,,,,,,
2012/3/10,,,,,,
2012/3/11,,,,,,
2012/3/12,1370.78,1405.88,1366.69,1404.17,4281244000,1404.17
2012/3/13,,,,,,
2012/3/14,,,,,,
2012/3/15,,,,,,
2012/3/16,,,,,,
2012/3/17,,,,,,
2012/3/18,,,,,,
2012/3/19,1404.17,1414,1386.87,1397.11,3682996000,1397.11
2012/3/20,,,,,,
2012/3/21,,,,,,
2012/3/22,,,,,,
2012/3/23,,,,,,
2012/3/24,,,,,,
2012/3/25,,,,,,
2012/3/26,1397.11,1419.15,1391.56,1408.47,3698456000,1408.47
2012/3/27,,,,,,
2012/3/28,,,,,,
2012/3/29,,,,,,
2012/3/30,,,,,,
2012/3/31,,,,,,
2012/4/1,,,,,,
2012/4/2,1408.47,1422.38,1392.92,1398.08,3659032500,1398.08
2012/4/3,,,,,,
2012/4/4,,,,,,
2012/4/5,,,,,,
2012/4/6,,,,,,
2012/4/7,,,,,,
2012/4/8,,,,,,
2012/4/9,1397.45,1397.45,1357.38,1370.26,3818638000,1370.26
2012/4/10,,,,,,
2012/4/11,,,,,,
2012/4/12,,,,,,
2012/4/13,,,,,,
2012/4/14,,,,,,
